Date_NodeID	4_0	4_1	15_0	15_1	17_0	17_1	13_0	13_1	13_2	1	0	2	3	6	10	16
2026011517	0.3102	0.3102	1.0000	1.0000	0.7500	0.7500	0.3853	0.3853	0.3853	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011518	0.3000	0.3000	1.0000	1.0000	0.7500	0.7500	0.4500	0.4500	0.4500	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011519	0.3102	0.3102	1.0000	1.0000	0.7500	0.7500	0.5147	0.5147	0.5147	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011520	0.3402	0.3402	1.0000	1.0000	0.1500	0.1500	0.5750	0.5750	0.5750	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011521	0.3879	0.3879	1.0000	1.0000	0.1500	0.1500	0.6268	0.6268	0.6268	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011522	0.4500	0.4500	1.0000	1.0000	0.1500	0.1500	0.6665	0.6665	0.6665	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011523	0.5224	0.5224	1.0000	1.0000	0.1500	0.1500	0.6915	0.6915	0.6915	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011600	0.6000	0.6000	1.0000	1.0000	0.1500	0.1500	0.7000	0.7000	0.7000	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011601	0.6776	0.6776	1.0000	1.0000	0.1500	0.1500	0.6915	0.6915	0.6915	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011602	0.7500	0.7500	1.0000	1.0000	0.1500	0.1500	0.6665	0.6665	0.6665	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011603	0.8121	0.8121	1.0000	1.0000	0.1500	0.1500	0.6268	0.6268	0.6268	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011604	0.8598	0.8598	1.0000	1.0000	0.1500	0.1500	0.5750	0.5750	0.5750	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011605	0.8898	0.8898	1.0000	1.0000	0.1500	0.1500	0.5147	0.5147	0.5147	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011606	0.9000	0.9000	1.0000	1.0000	0.7500	0.0000	0.4500	0.4500	0.4500	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011607	0.8898	0.8898	1.0000	1.0000	0.7500	0.0000	0.3853	0.3853	0.3853	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011608	0.8598	0.8598	1.0000	1.0000	0.7500	0.0000	0.3250	0.3250	0.3250	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011609	0.8121	0.8121	1.0000	1.0000	0.7500	0.0000	0.2732	0.2732	0.2732	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011610	0.7500	0.7500	1.0000	1.0000	0.7500	0.0000	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011611	0.6776	0.6776	1.0000	1.0000	0.7500	0.0000	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011612	0.6000	0.6000	0.0000	0.0000	0.7500	0.0000	0.2000	0.2000	0.2000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011613	0.5224	0.5224	0.0000	0.0000	0.7500	0.0000	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011614	0.4500	0.4500	0.0000	0.0000	0.7500	0.0000	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011615	0.3879	0.3879	0.0000	0.0000	0.7500	0.0000	0.2732	0.2732	0.2732	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011616	0.3402	0.3402	0.0000	0.0000	0.7500	0.0000	0.3250	0.3250	0.3250	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011617	0.3102	0.3102	0.0000	0.0000	0.7500	0.0000	0.3853	0.3853	0.3853	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011618	0.3000	0.3000	0.0000	0.0000	0.7500	0.0000	0.4500	0.4500	0.4500	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011619	0.3102	0.3102	0.0000	0.0000	0.7500	0.0000	0.5147	0.5147	0.5147	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011620	0.3402	0.3402	0.0000	0.0000	0.7500	0.0000	0.5750	0.5750	0.5750	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011621	0.3879	0.3879	0.0000	0.0000	0.7500	0.0000	0.6268	0.6268	0.6268	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011622	0.4500	0.4500	0.0000	0.0000	0.7500	0.0000	0.6665	0.6665	0.6665	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011623	0.5224	0.5224	0.0000	0.0000	0.7500	0.0000	0.6915	0.6915	0.6915	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011700	0.6000	0.6000	1.0000	1.0000	0.7500	0.0000	0.7000	0.7000	0.7000	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011701	0.6776	0.6776	1.0000	1.0000	0.7500	0.0000	0.6915	0.6915	0.6915	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011702	0.7500	0.7500	1.0000	1.0000	0.7500	0.0000	0.6665	0.6665	0.6665	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011703	0.8121	0.8121	1.0000	1.0000	0.7500	0.0000	0.6268	0.6268	0.6268	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011704	0.8598	0.8598	1.0000	1.0000	0.0000	0.0000	0.5750	0.5750	0.5750	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011705	0.8898	0.8898	1.0000	1.0000	0.0000	0.0000	0.5147	0.5147	0.5147	0.7000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011706	0.9000	0.9000	1.0000	1.0000	0.0000	0.0000	0.4500	0.4500	0.4500	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011707	0.8898	0.8898	1.0000	1.0000	0.0000	0.0000	0.3853	0.3853	0.3853	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011708	0.8598	0.8598	1.0000	1.0000	0.0000	0.0000	0.3250	0.3250	0.3250	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011709	0.8121	0.8121	1.0000	1.0000	0.0000	0.0000	0.2732	0.2732	0.2732	0.0000	0.6000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011710	0.7500	0.7500	1.0000	1.0000	0.0000	0.0000	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011711	0.6776	0.6776	1.0000	1.0000	0.0000	0.0000	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011712	0.6000	0.6000	1.0000	1.0000	0.0000	0.0000	0.2000	0.2000	0.2000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011713	0.5224	0.5224	1.0000	1.0000	0.0000	0.0000	0.2085	0.2085	0.2085	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011714	0.4500	0.4500	1.0000	1.0000	0.0000	0.0000	0.2335	0.2335	0.2335	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011715	0.3879	0.3879	1.0000	1.0000	0.0000	0.0000	0.2732	0.2732	0.2732	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011716	0.3402	0.3402	1.0000	1.0000	0.0000	0.0000	0.3250	0.3250	0.3250	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011717	0.3102	0.3102	1.0000	1.0000	0.0000	0.0000	0.3853	0.3853	0.3853	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011718	0.3000	0.3000	1.0000	1.0000	0.7500	0.0000	0.4500	0.4500	0.4500	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011719	0.3102	0.3102	1.0000	1.0000	0.7500	0.0000	0.5147	0.5147	0.5147	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011720	0.3402	0.3402	1.0000	1.0000	0.7500	0.0000	0.5750	0.5750	0.5750	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011721	0.3879	0.3879	1.0000	1.0000	0.7500	0.0000	0.6268	0.6268	0.6268	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011722	0.4500	0.4500	1.0000	1.0000	0.7500	0.0000	0.6665	0.6665	0.6665	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
2026011723	0.5224	0.5224	1.0000	1.0000	0.7500	0.0000	0.6915	0.6915	0.6915	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
